route-views.amsix.routeviews.org 8821 80.249.208.12 20 CH ripencc TELEZUG WWZ Telekom AG TELEZUG, CH
route-views.amsix.routeviews.org 1103 80.249.208.34 886328 NL ripencc SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org 12859 80.249.208.35 882903 NL ripencc NL-BIT BIT BV, NL
route-views.amsix.routeviews.org 1140 80.249.208.49 526283 NL ripencc SIDN, NL
route-views.amsix.routeviews.org 1103 80.249.208.50 886328 NL ripencc SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org 6830 80.249.208.106 874315 NL ripencc LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.amsix.routeviews.org 24875 80.249.208.126 305 NL ripencc NOVOSERVE-AS, NL
route-views.amsix.routeviews.org 6667 80.249.208.127 511 FI ripencc EUNET-FINLAND, FI
route-views.amsix.routeviews.org 39591 80.249.208.152 875028 NL ripencc GLOBAL-E, NL
route-views.amsix.routeviews.org 49544 80.249.208.162 228 NL ripencc I3DNET, NL
route-views.amsix.routeviews.org 12414 80.249.208.165 21 NL ripencc NL-SOLCON SOLCON, NL
route-views.amsix.routeviews.org 16298 80.249.208.183 2 NL ripencc INTERBOX-AS InterBox Internet, NL
route-views.amsix.routeviews.org 51088 80.249.208.209 874710 NL ripencc A2B, NL
route-views.amsix.routeviews.org 21478 80.249.208.216 1 NL ripencc PLEX Plex ASN, NL
route-views.amsix.routeviews.org 12779 80.249.209.17 875196 IT ripencc ITGATE, IT
route-views.amsix.routeviews.org 34968 80.249.209.81 877392 NL ripencc IUNXI, NL
route-views.amsix.routeviews.org 12414 80.249.209.165 21 NL ripencc NL-SOLCON SOLCON, NL
route-views.amsix.routeviews.org 2119 80.249.209.192 846 NO ripencc TELENOR-NEXTEL Telenor Norge AS, NO
route-views.amsix.routeviews.org 39120 80.249.210.28 875542 IT ripencc CONVERGENZE-AS ISP services in Italy, IT
route-views.amsix.routeviews.org 5394 80.249.210.29 879275 IT ripencc UNIDATA Unidata S.p.A. NOC - Italy, IT
route-views.amsix.routeviews.org 34177 80.249.210.38 0 FR ripencc CELESTE-AS CELESTE - Internet services provider, FR
route-views.amsix.routeviews.org 38182 80.249.210.50 204 MY apnic EXTREMEBB-AS-MY Extreme Broadband - Total Broadband Experience, MY
route-views.amsix.routeviews.org 31449 80.249.210.71 2 BE ripencc AS31449 AS31449.net European Network, BE
route-views.amsix.routeviews.org 50763 80.249.210.99 625837 GB ripencc MCKAYCOM, GB
route-views.amsix.routeviews.org 8859 80.249.210.122 8 DE ripencc OSN OSN Online Service Nuernberg GmbH, DE
route-views.amsix.routeviews.org 58601 80.249.210.132 126 BD apnic AAMRA-ATL-BD Aamra technologies limited, BD
route-views.amsix.routeviews.org 199524 80.249.210.150 881422 LU ripencc GCORE, LU
route-views.amsix.routeviews.org 47957 80.249.210.248 385619 FR ripencc ING-AS, FR
route-views.amsix.routeviews.org 6762 80.249.211.42 163975 IT ripencc SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.amsix.routeviews.org 30844 80.249.211.45 2597 GB ripencc LIQUID-AS, GB
route-views.amsix.routeviews.org 61955 80.249.211.155 591848 DE ripencc COLOCATIONIX-AS, DE
route-views.amsix.routeviews.org 714 80.249.211.160 996 US arin APPLE-ENGINEERING, US
route-views.amsix.routeviews.org 31019 80.249.211.199 885360 NL ripencc MEANIE Meanie Heavy Industries, NL
route-views.amsix.routeviews.org 15943 80.249.211.221 82 DE ripencc WTNET-AS wilhelm.tel GmbH, DE
