ROUTEVIEWS_COLLECTOR|AS_NUMBER|PEERING_ADDRESS|PREFIXES|CC|REGION|ASNAME
route-views.amsix.routeviews.org|15943|80.249.211.221|129|DE|ripencc|WTNET-AS wilhelm.tel GmbH, DE
route-views.amsix.routeviews.org|7713|80.249.211.240|407|ID|apnic |TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
route-views.amsix.routeviews.org|38880|80.249.212.75|956728|AU|apnic |M21-AS-AP Micron21 Datacentre Pty Ltd, AU
route-views.amsix.routeviews.org|42541|80.249.212.84|899088|DK|ripencc|FIBERBY, DK
route-views.amsix.routeviews.org|58511|80.249.212.104|928261|AU|apnic |ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.amsix.routeviews.org|62955|80.249.212.124|23|US|arin |EBAYMTBB, US
route-views.amsix.routeviews.org|3399|80.249.212.156|913744|SE|ripencc|OBE-NET, SE
route-views.amsix.routeviews.org|54113|80.249.212.183|34|US|arin |FASTLY, US
route-views.amsix.routeviews.org|293|80.249.213.7|939858|US|arin |ESNET, US
route-views.amsix.routeviews.org|37271|80.249.213.52|918153|ZA|afrinic|Workonline, ZA
route-views.amsix.routeviews.org|39351|80.249.213.131|78|SE|ripencc|ESAB-AS, SE
route-views.amsix.routeviews.org|267613|80.249.213.223|930103|BR|lacnic |ELETRONET S.A., BR
route-views.amsix.routeviews.org|16552|80.249.214.44|914517|US|arin |TIGGEE, US
route-views.amsix.routeviews.org|38195|80.249.214.119|2489|AU|apnic |SUPERLOOP-AS-AP Superloop, AU
route-views.amsix.routeviews.org|8888|80.249.214.247|924168|AU|ripencc|XTOM xTom Pty Ltd, AU
route-views.amsix.routeviews.org|41805|80.249.215.106|347475|IQ|ripencc|IQ-SAWADLAND-AS, IQ
route-views.amsix.routeviews.org|210633|185.1.166.64|2|DE|ripencc|DEVSTORAGE, DE
route-views.amsix.routeviews.org|3214|185.1.167.24|493365|DE|ripencc|XTOM xTom GmbH, DE
route-views.amsix.routeviews.org|34681|185.1.167.245|1|PL|ripencc|ITSERVICE, PL
route-views.amsix.routeviews.org|293|2001:7f8:1::a500:293:1|186578|US|arin |ESNET, US
route-views.amsix.routeviews.org|714|2001:7f8:1::a500:714:1|236|US|arin |APPLE-ENGINEERING, US
route-views.amsix.routeviews.org|1103|2001:7f8:1::a500:1103:1|180919|NL|ripencc|SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org|1103|2001:7f8:1::a500:1103:2|180919|NL|ripencc|SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org|1140|2001:7f8:1::a500:1140:1|174928|NL|ripencc|SIDN, NL
route-views.amsix.routeviews.org|2119|2001:7f8:1::a500:2119:1|137|NO|ripencc|TELENOR-NEXTEL Telenor Norge AS, NO
route-views.amsix.routeviews.org|3399|2001:7f8:1::a500:3399:1|174765|SE|ripencc|OBE-NET, SE
route-views.amsix.routeviews.org|5394|2001:7f8:1::a500:5394:1|4|IT|ripencc|UNIDATA Unidata S.p.A. NOC - Italy, IT
route-views.amsix.routeviews.org|6667|2001:7f8:1::a500:6667:1|54|FI|ripencc|EUNET-FINLAND, FI
route-views.amsix.routeviews.org|6762|2001:7f8:1::a500:6762:1|37654|IT|ripencc|SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.amsix.routeviews.org|6830|2001:7f8:1::a500:6830:2|174054|NL|ripencc|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.amsix.routeviews.org|7713|2001:7f8:1::a500:7713:1|929|ID|apnic |TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
route-views.amsix.routeviews.org|8821|2001:7f8:1::a500:8821:1|5|CH|ripencc|TELEZUG WWZ Telekom AG TELEZUG, CH
route-views.amsix.routeviews.org|8888|2001:7f8:1::a500:8888:1|185488|AU|ripencc|XTOM xTom Pty Ltd, AU
route-views.amsix.routeviews.org|12414|2001:7f8:1::a501:2414:1|9|NL|ripencc|NL-SOLCON SOLCON, NL
route-views.amsix.routeviews.org|12414|2001:7f8:1::a501:2414:2|9|NL|ripencc|NL-SOLCON SOLCON, NL
route-views.amsix.routeviews.org|12779|2001:7f8:1::a501:2779:1|174799|IT|ripencc|ITGATE, IT
route-views.amsix.routeviews.org|12859|2001:7f8:1::a501:2859:1|175185|NL|ripencc|NL-BIT BIT BV, NL
route-views.amsix.routeviews.org|15943|2001:7f8:1::a501:5943:1|14|DE|ripencc|WTNET-AS wilhelm.tel GmbH, DE
route-views.amsix.routeviews.org|16298|2001:7f8:1::a501:6298:1|1|NL|ripencc|INTERBOX-AS InterBox Internet, NL
route-views.amsix.routeviews.org|16509|2001:7f8:1::a501:6509:1|781|US|arin |AMAZON-02, US
route-views.amsix.routeviews.org|16509|2001:7f8:1::a501:6509:2|781|US|arin |AMAZON-02, US
route-views.amsix.routeviews.org|16552|2001:7f8:1::a501:6552:1|174227|US|arin |TIGGEE, US
route-views.amsix.routeviews.org|24875|2001:7f8:1::a502:4875:1|13|NL|ripencc|NOVOSERVE-AS, NL
route-views.amsix.routeviews.org|30844|2001:7f8:1::a503:844:1|246|GB|ripencc|LIQUID-AS, GB
route-views.amsix.routeviews.org|34177|2001:7f8:1::a503:4177:1|0|FR|ripencc|CELESTE-AS CELESTE - Internet services provider, FR
route-views.amsix.routeviews.org|34968|2001:7f8:1::a503:4968:1|175199|NL|ripencc|IUNXI, NL
route-views.amsix.routeviews.org|37271|2001:7f8:1::a503:7271:1|179242|ZA|afrinic|Workonline, ZA
route-views.amsix.routeviews.org|38195|2001:7f8:1::a503:8195:1|256|AU|apnic |SUPERLOOP-AS-AP Superloop, AU
route-views.amsix.routeviews.org|38880|2001:7f8:1::a503:8880:1|188070|AU|apnic |M21-AS-AP Micron21 Datacentre Pty Ltd, AU
route-views.amsix.routeviews.org|39120|2001:7f8:1::a503:9120:1|1|IT|ripencc|CONVERGENZE-AS ISP services in Italy, IT
route-views.amsix.routeviews.org|39351|2001:7f8:1::a503:9351:1|273|SE|ripencc|ESAB-AS, SE
route-views.amsix.routeviews.org|39591|2001:7f8:1::a503:9591:1|58546|NL|ripencc|GLOBAL-E, NL
route-views.amsix.routeviews.org|41805|2001:7f8:1::a504:1805:1|77179|IQ|ripencc|IQ-SAWADLAND-AS, IQ
route-views.amsix.routeviews.org|42541|2001:7f8:1::a504:2541:1|180846|DK|ripencc|FIBERBY, DK
route-views.amsix.routeviews.org|47957|2001:7f8:1::a504:7957:1|175676|FR|ripencc|ING-AS, FR
route-views.amsix.routeviews.org|49544|2001:7f8:1::a504:9544:1|178592|NL|ripencc|I3DNET, NL
route-views.amsix.routeviews.org|50763|2001:7f8:1::a505:763:1|182072|GB|ripencc|MCKAYCOM, GB
route-views.amsix.routeviews.org|51088|2001:7f8:1::a505:1088:1|174287|NL|ripencc|A2B, NL
route-views.amsix.routeviews.org|54113|2001:7f8:1::a505:4113:2|25|US|arin |FASTLY, US
route-views.amsix.routeviews.org|58511|2001:7f8:1::a505:8511:1|186676|AU|apnic |ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.amsix.routeviews.org|61955|2001:7f8:1::a506:1955:1|25487|DE|ripencc|COLOCATIONIX-AS, DE
route-views.amsix.routeviews.org|62955|2001:7f8:1::a506:2955:1|2|US|arin |EBAYMTBB, US
route-views.amsix.routeviews.org|199524|2001:7f8:1:0:a500:19:9524:1|186334|LU|ripencc|GCORE, LU
route-views.amsix.routeviews.org|267613|2001:7f8:1:0:a500:26:7613:1|180085|BR|lacnic |ELETRONET S.A., BR
route-views.amsix.routeviews.org|3214|2001:7f8:f2:e1::3214:2|181901|DE|ripencc|XTOM xTom GmbH, DE
route-views.amsix.routeviews.org|8888|2001:7f8:f2:e1::8888:1|185523|AU|ripencc|XTOM xTom Pty Ltd, AU
route-views.amsix.routeviews.org|211398|2001:7f8:f2:e1:0:21:1398:2|186334|BE|ripencc|CRAZYGROUP-AS, BE
route-views.amsix.routeviews.org|34681|2001:7f8:f2:e1:0:3468:1:1|3|PL|ripencc|ITSERVICE, PL
route-views.amsix.routeviews.org|56662|2001:7f8:f2:e1:0:a105:6662:1|176820|PL|ripencc|EUTPNET, PL
route-views.amsix.routeviews.org|208753|2001:7f8:f2:e1:0:a520:8753:1|185832|IT|ripencc|6NETWORK, IT
route-views.amsix.routeviews.org|210633|2001:7f8:f2:e1:0:a521:633:1|16|DE|ripencc|DEVSTORAGE, DE
route-views.bdix.routeviews.org|140684|103.151.196.1|6301|BD|apnic |BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bdix.routeviews.org|140684|103.151.196.5|6202|BD|apnic |BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bdix.routeviews.org|140684|2001:df3:d680::1|1048|BD|apnic |BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bdix.routeviews.org|140684|2001:df3:d680::5|1363|BD|apnic |BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bknix.routeviews.org|63528|203.159.68.1|3|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|203.159.68.2|3|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|203.159.68.5|6|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|132280|203.159.68.122|501|TH|apnic |SYMPHONY-AP-TH Symphony Communication Thailand PCL., TH
route-views.bknix.routeviews.org|16509|203.159.68.130|665|US|arin |AMAZON-02, US
route-views.bknix.routeviews.org|16509|203.159.68.131|665|US|arin |AMAZON-02, US
route-views.bknix.routeviews.org|63528|2001:deb:0:68::1|1|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|2001:deb:0:68::2|1|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|63528|2001:deb:0:68::5|2|TH|apnic |BKNIX-AS-AP Bangkok Neutral Internet Exchange, TH
route-views.bknix.routeviews.org|132280|2001:deb:0:68::122|42|TH|apnic |SYMPHONY-AP-TH Symphony Communication Thailand PCL., TH
route-views.bknix.routeviews.org|16509|2001:deb:0:68::130|194|US|arin |AMAZON-02, US
route-views.bknix.routeviews.org|16509|2001:deb:0:68::131|194|US|arin |AMAZON-02, US
route-views.chicago.routeviews.org|17350|208.115.136.5|915611|US|arin |MOODYS, US
route-views.chicago.routeviews.org|19151|208.115.136.18|921261|US|arin |BBO-1, US
route-views.chicago.routeviews.org|6325|208.115.136.22|161|US|arin |ILLINOIS-CENTURY, US
route-views.chicago.routeviews.org|199524|208.115.136.42|920583|LU|ripencc|GCORE, LU
route-views.chicago.routeviews.org|293|208.115.136.58|939818|US|arin |ESNET, US
route-views.chicago.routeviews.org|852|208.115.136.67|915002|CA|arin |TELUS Communications, CA
route-views.chicago.routeviews.org|17350|208.115.136.95|915611|US|arin |MOODYS, US
route-views.chicago.routeviews.org|16509|208.115.136.98|2948|US|arin |AMAZON-02, US
route-views.chicago.routeviews.org|13727|208.115.136.117|13|CA|arin |ND-CA-ASN, CA
route-views.chicago.routeviews.org|19653|208.115.136.133|939225|US|arin |CTSTELECOM, US
route-views.chicago.routeviews.org|32709|208.115.136.134|883318|US|arin |1-JOINK, US
route-views.chicago.routeviews.org|62955|208.115.136.179|23|US|arin |EBAYMTBB, US
route-views.chicago.routeviews.org|13335|208.115.136.180|3838|US|arin |CLOUDFLARENET, US
route-views.chicago.routeviews.org|714|208.115.136.182|1102|US|arin |APPLE-ENGINEERING, US
route-views.chicago.routeviews.org|16509|208.115.136.210|2948|US|arin |AMAZON-02, US
route-views.chicago.routeviews.org|53828|208.115.136.220|916879|US|arin |NITEL, US
route-views.chicago.routeviews.org|4775|208.115.136.231|951|PH|apnic |GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.chicago.routeviews.org|8220|208.115.137.35|914047|GB|ripencc|COLT COLT Technology Services Group Limited, GB
route-views.chicago.routeviews.org|398465|208.115.137.47|915199|US|arin |RACKDOG-LLC, US
route-views.chicago.routeviews.org|49544|208.115.137.50|931545|NL|ripencc|I3DNET, NL
route-views.chicago.routeviews.org|26744|208.115.137.62|318|US|arin |PCL, US
route-views.chicago.routeviews.org|16552|208.115.137.69|913662|US|arin |TIGGEE, US
route-views.chicago.routeviews.org|13335|208.115.137.77|3842|US|arin |CLOUDFLARENET, US
route-views.chicago.routeviews.org|14630|208.115.137.100|913852|US|arin |INVESCO, US
route-views.chicago.routeviews.org|14630|208.115.137.200|913852|US|arin |INVESCO, US
route-views.chicago.routeviews.org|293|2001:504:0:4::293:1|186577|US|arin |ESNET, US
route-views.chicago.routeviews.org|714|2001:504:0:4::714:2|245|US|arin |APPLE-ENGINEERING, US
route-views.chicago.routeviews.org|852|2001:504:0:4::852:1|175041|CA|arin |TELUS Communications, CA
route-views.chicago.routeviews.org|4775|2001:504:0:4::4775:1|3|PH|apnic |GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.chicago.routeviews.org|6325|2001:504:0:4::6325:1|2|US|arin |ILLINOIS-CENTURY, US
route-views.chicago.routeviews.org|8220|2001:504:0:4::8220:1|174240|GB|ripencc|COLT COLT Technology Services Group Limited, GB
route-views.chicago.routeviews.org|13335|2001:504:0:4:0:1:3335:1|284|US|arin |CLOUDFLARENET, US
route-views.chicago.routeviews.org|13335|2001:504:0:4:0:1:3335:2|288|US|arin |CLOUDFLARENET, US
route-views.chicago.routeviews.org|14630|2001:504:0:4:0:1:4630:1|184137|US|arin |INVESCO, US
route-views.chicago.routeviews.org|14630|2001:504:0:4:0:1:4630:2|184693|US|arin |INVESCO, US
route-views.chicago.routeviews.org|16509|2001:504:0:4:0:1:6509:2|767|US|arin |AMAZON-02, US
route-views.chicago.routeviews.org|16509|2001:504:0:4:0:1:6509:3|767|US|arin |AMAZON-02, US
route-views.chicago.routeviews.org|16552|2001:504:0:4:0:1:6552:1|174110|US|arin |TIGGEE, US
route-views.chicago.routeviews.org|17350|2001:504:0:4:0:1:7350:1|173972|US|arin |MOODYS, US
route-views.chicago.routeviews.org|17350|2001:504:0:4:0:1:7350:2|173808|US|arin |MOODYS, US
route-views.chicago.routeviews.org|19151|2001:504:0:4:0:1:9151:1|177943|US|arin |BBO-1, US
route-views.chicago.routeviews.org|19653|2001:504:0:4:0:1:9653:1|186278|US|arin |CTSTELECOM, US
route-views.chicago.routeviews.org|49544|2001:504:0:4:0:4:9544:1|178522|NL|ripencc|I3DNET, NL
route-views.chicago.routeviews.org|53828|2001:504:0:4:0:5:3828:1|184564|US|arin |NITEL, US
route-views.chicago.routeviews.org|62955|2001:504:0:4:0:6:2955:1|2|US|arin |EBAYMTBB, US
route-views.chicago.routeviews.org|199524|2001:504:0:4:0:19:9524:1|186254|LU|ripencc|GCORE, LU
route-views.chile.routeviews.org|27678|200.16.114.34|939763|CL|lacnic |NIC Chile, CL
route-views.chile.routeviews.org|27678|200.16.114.53|0|CL|lacnic |NIC Chile, CL
route-views.eqix.routeviews.org|2914|206.126.236.12|913061|US|arin |NTT-LTD-2914, US
route-views.eqix.routeviews.org|3257|206.126.236.19|913074|US|ripencc|GTT-BACKBONE GTT, US
route-views.eqix.routeviews.org|6079|206.126.236.25|914705|US|arin |RCN-AS, US
route-views.eqix.routeviews.org|16509|206.126.236.35|2931|US|arin |AMAZON-02, US
route-views.eqix.routeviews.org|6939|206.126.236.37|937528|US|arin |HURRICANE, US
route-views.eqix.routeviews.org|19151|206.126.236.47|921162|US|arin |BBO-1, US
route-views.eqix.routeviews.org|32098|206.126.236.58|7459|US|arin |TRANSTELCO-INC, US
route-views.eqix.routeviews.org|16509|206.126.236.68|2931|US|arin |AMAZON-02, US
route-views.eqix.routeviews.org|6830|206.126.236.117|913007|NL|ripencc|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.eqix.routeviews.org|41095|206.126.236.120|921829|GB|ripencc|IPTP, GB
route-views.eqix.routeviews.org|293|206.126.236.137|939831|US|arin |ESNET, US
route-views.eqix.routeviews.org|61461|206.126.236.143|115|VE|lacnic |Airtek Solutions C.A., VE
route-views.eqix.routeviews.org|7795|206.126.236.156|368|US|arin |LUMOS, US
route-views.eqix.routeviews.org|11039|206.126.236.172|920020|US|arin |GWU, US
route-views.eqix.routeviews.org|8781|206.126.236.181|915|QA|ripencc|QA-ISP, QA
route-views.eqix.routeviews.org|398465|206.126.236.209|918784|US|arin |RACKDOG-LLC, US
route-views.eqix.routeviews.org|57695|206.126.236.214|917959|US|ripencc|MISAKA Misaka Network, Inc., US
route-views.eqix.routeviews.org|40934|206.126.236.218|390686|US|arin |FORTINET, US
route-views.eqix.routeviews.org|62955|206.126.236.224|22|US|arin |EBAYMTBB, US
route-views.eqix.routeviews.org|399728|206.126.236.243|6|US|arin |PFOUNDATION, US
route-views.eqix.routeviews.org|199524|206.126.237.22|922440|LU|ripencc|GCORE, LU
route-views.eqix.routeviews.org|4775|206.126.237.90|951|PH|apnic |GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.eqix.routeviews.org|59605|206.126.237.125|1267|BH|ripencc|ZAINGP-AS, BH
route-views.eqix.routeviews.org|26744|206.126.237.130|317|US|arin |PCL, US
route-views.eqix.routeviews.org|54113|206.126.237.169|34|US|arin |FASTLY, US
route-views.eqix.routeviews.org|54054|206.126.237.179|7|US|arin |DETEQUE, US
route-views.eqix.routeviews.org|45102|206.126.237.184|51|CN|apnic |ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN
route-views.eqix.routeviews.org|49544|206.126.237.210|931547|NL|ripencc|I3DNET, NL
route-views.eqix.routeviews.org|37468|206.126.238.56|44054|AO|afrinic|ANGOLA-CABLES, AO
route-views.eqix.routeviews.org|8220|206.126.238.64|914137|GB|ripencc|COLT COLT Technology Services Group Limited, GB
route-views.eqix.routeviews.org|16552|206.126.238.92|913970|US|arin |TIGGEE, US
route-views.eqix.routeviews.org|7195|206.126.238.207|5985|CO|lacnic |EDGEUNO SAS, CO
route-views.eqix.routeviews.org|17350|206.126.238.208|915611|US|arin |MOODYS, US
route-views.eqix.routeviews.org|17350|206.126.238.209|915610|US|arin |MOODYS, US
route-views.eqix.routeviews.org|293|2001:504:0:2::293:1|186575|US|arin |ESNET, US
route-views.eqix.routeviews.org|2914|2001:504:0:2::2914:1|169981|US|arin |NTT-LTD-2914, US
route-views.eqix.routeviews.org|3257|2001:504:0:2::3257:1|174011|US|ripencc|GTT-BACKBONE GTT, US
route-views.eqix.routeviews.org|4775|2001:504:0:2::4775:1|3|PH|apnic |GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.eqix.routeviews.org|6762|2001:504:0:2::6762:1|37622|IT|ripencc|SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.eqix.routeviews.org|6830|2001:504:0:2::6830:1|174065|NL|ripencc|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.eqix.routeviews.org|6939|2001:504:0:2::6939:1|181851|US|arin |HURRICANE, US
route-views.eqix.routeviews.org|7195|2001:504:0:2::7195:1|2967|CO|lacnic |EDGEUNO SAS, CO
route-views.eqix.routeviews.org|8220|2001:504:0:2::8220:1|174281|GB|ripencc|COLT COLT Technology Services Group Limited, GB
route-views.eqix.routeviews.org|8781|2001:504:0:2::8781:1|401|QA|ripencc|QA-ISP, QA
route-views.eqix.routeviews.org|11039|2001:504:0:2:0:1:1039:1|187613|US|arin |GWU, US
route-views.eqix.routeviews.org|16509|2001:504:0:2:0:1:6509:1|754|US|arin |AMAZON-02, US
route-views.eqix.routeviews.org|16509|2001:504:0:2:0:1:6509:2|754|US|arin |AMAZON-02, US
route-views.eqix.routeviews.org|16552|2001:504:0:2:0:1:6552:1|174224|US|arin |TIGGEE, US
route-views.eqix.routeviews.org|17350|2001:504:0:2:0:1:7350:1|174323|US|arin |MOODYS, US
route-views.eqix.routeviews.org|17350|2001:504:0:2:0:1:7350:2|171221|US|arin |MOODYS, US
route-views.eqix.routeviews.org|19151|2001:504:0:2:0:1:9151:1|177928|US|arin |BBO-1, US
route-views.eqix.routeviews.org|26744|2001:504:0:2:0:2:6744:130|7|US|arin |PCL, US
route-views.eqix.routeviews.org|32098|2001:504:0:2:0:3:2098:1|3322|US|arin |TRANSTELCO-INC, US
route-views.eqix.routeviews.org|37468|2001:504:0:2:0:3:7468:1|12946|AO|afrinic|ANGOLA-CABLES, AO
route-views.eqix.routeviews.org|40934|2001:504:0:2:0:4:934:2|0|US|arin |FORTINET, US
route-views.eqix.routeviews.org|49544|2001:504:0:2:0:4:9544:1|178525|NL|ripencc|I3DNET, NL
route-views.eqix.routeviews.org|54054|2001:504:0:2:0:5:4054:1|3|US|arin |DETEQUE, US
route-views.eqix.routeviews.org|54113|2001:504:0:2:0:5:4113:2|25|US|arin |FASTLY, US
route-views.eqix.routeviews.org|57695|2001:504:0:2:0:5:7695:1|176496|US|ripencc|MISAKA Misaka Network, Inc., US
route-views.eqix.routeviews.org|59605|2001:504:0:2:0:5:9605:1|35|BH|ripencc|ZAINGP-AS, BH
route-views.eqix.routeviews.org|61461|2001:504:0:2:0:6:1461:1|30|VE|lacnic |Airtek Solutions C.A., VE
